Party,Sentence
D,"All of this will take time, patience and a willingness by all elected officials to challenge their own beliefs in search of a better ways to serve the people."
D,We cannot fix in a few months a crisis that was a decade in the making.
D,"Frankly, generations to come will not remember us for how we balanced the budget, or how we expanded or contracted the size of government."
D,"Instead, they will remember

How we educated our children."
D,How we protected our seniors.
D,How we built a new economy.
D,And how we made this wonderful state an even better place to live.
D,"We are building a new Arizona, and in doing so we are creating our own proud legacy of an Arizona that

Offers the best public education in America

Leads the world in research and product development, and

Boasts of prosperous and growing communities."
D,"My friends, we have what it takes to create that legacy."
D,To write our chapter of Arizona history.
D,"For today, I thank you for your confidence and trust in me."
D,I ask for your support and understanding as I embark on the task ahead.
D,I ask for your hand in partnership.
D,"Our future starts today, and what a beautiful day it is."
D,Thank you.
D,Thank you so much for joining me here today.
D,"First, thank you to my family – Annie, Emily, Lindsay, Teddy."
D,"As family, we always know we are in this together, and that is how I feel about all of you and the people of Connecticut – like an extended family."
D,"This includes our freshly minted constitutional officers, and our Lieutenant Governor Susan Bysiewicz."
D,"Thank you to our legislative leaders and our former chief justice Chase Rogers, who has been such a wise and close friend for many, many years."
D,"I am thankful that former governors Jodi Rell and Lowell Weicker are here: they have been in the arena, and to paraphrase my favorite President Teddy Roosevelt, the credit belongs not to the critic on the sidelines, but to the men and women in the arena."
D,"And to Dan Malloy who is retiring after decades of service to our state, and who has been so helpful in making the transition smooth and effective."
D,"Of course, my thanks to Nancy Wyman – we’ll be staying in close touch, I know."
D,"Lastly, I also want to thank the men and women of the Connecticut National Guard for their assistance coordinating today’s festivities and hosting us here in the State Armory."
D,"They are always there when the people of our state need them, and we thank them for their service."
D,"I asked Rabbi Goldman, Pastor Steel, Reverend Ahlberg, and Saud Anwar, all friends from different faiths to say a few words, reminding us that whatever our differences, we have so much more that holds us together than tears us apart."
D,"Many years ago, Reverend Ahlberg welcomed Annie and me and another couple to the non-denominational Round Hill Community Church in very Republican Greenwich."
D,"He introduced Alan, a Lutheran, Carrie, a Greek Orthodox, Annie, an Episcopalian, and Ned, a Democrat."
D,Now that’s diversity.
D,"From here, we march to the Capitol with the Foot Guard, who have been hosting the inauguration for 250 years, accompanied by Bridgeport’s Harding High School Marching Band."
D,"I was a volunteer teacher there many years ago, but I remember those kids like yesterday."
D,"As your governor, I will work tirelessly to ensure that all of our kids have the greatest opportunities to thrive, succeed, and create a life of their own, right here in Connecticut."
D,Susan and I recently joined a couple thousand high school students for a performance of Hamilton at the Bushnell.
D,"I talked to the kids about the meaning of the song “My Shot,” where Alexander Hamilton sings about himself as a scrappy immigrant kid with great opportunities, just like his new nation."
D,"That’s what I love about America; every generation we get a chance to reinvent ourselves, and every election gives us a fresh start."
D,"This is our chance to reinvent Connecticut – to think big, act boldly."
D,"On Election Day, thousands of voters waited for hours in the pouring rain."
D,"They believed that their vote would make a difference, and they were not going to throw away their shot – and neither are we."
D,"For generations, Connecticut was the most entrepreneurial, inventive, and fast-growing state loaded with amazing opportunities."
D,And we still can be.
D,I will not allow the next four years to be defined by a fiscal crisis.
D,"Together we will craft an honestly balanced budget which does not borrow from the future, but invests in the future."
D,"We owe all of our kids, our extended family, nothing less."
D,"In an hour, I speak to the legislature, in the room where it happens."
D,I will remind all of us that there is no room for the critic on the sidelines.
D,It is easy to vote no.
D,Let’s give each other the benefit of the doubt and work like heck to get to yes – and make sure that all of our kids get their shot.
D,Thank you for the faith you have instilled in me.
D,I will not let you down.
D,Now let’s get down to business.
D,God bless the great State of Connecticut.
D,I want to begin today by thanking my family.
D,"First, my partner, my best friend, the love of my life, and now the First Lady of Illinois, MK Pritzker."
D,My wonderful children Teddi and Donny.
D,I love you more than life itself.
D,"And my parents Sue and Don Pritzker, who departed this world too soon more than three decades ago but who left behind a set of values around honor and decency that will endure as long as there are good people in the world."
D,"And please join me in giving an ovation for my partner and your Lieutenant Governor, the incomparable Juliana Stratton."
D,"I want to acknowledge the other distinguished guests here today: Chief Justice Lloyd Karmeier, President John Cullerton, Speaker Michael Madigan, Leader Bill Brady, Leader Jim Durkin, Attorney General-elect Kwame Raoul, Secretary of State Jesse White, Comptroller Susana Mendoza, Treasurer Mike Frerichs, Members of the General Assembly, Members of the Congressional delegation, Governor Jim Edgar, Governor Pat Quinn, Governor Bruce Rauner, Governor Jim Thompson, Mayor Rahm Emanuel, and National Guard Adjutant General Richard Hayes."
D,"To all of you, on behalf of the people of Illinois, thank you for your service."
D,"Ladies and gentlemen, for 200 years Illinois has proudly stood as the beating heart of our Republic… a place whose people have high hope and clear vision."
D,This is where Lincoln found the mettle to grip a warring nation in both hands and hold us together.
D,This is where Obama came to organize and to witness the courage that runs deep in our communities – in whom he found the fortitude to launch his bid to make history.
D,"This is where the 13th and 19th Amendments to the U.S. Constitution were first ratified, ending slavery and guaranteeing a woman’s right to vote."
D,"This is where, on the Sunday morning after the Great Chicago Fire, Reverend Robert Collyer, pastor of the First Unitarian Church, an immigrant, an ardent anti-slavery abolitionist, and a women’s suffrage advocate, stood amidst the broken ruins of his once grand church and brought hope and vision to his devastated congregation."
D,"His parishioners gathered around him, the sun peeking through gutted walls and splintered beams, an overturned column serving as his pulpit."
D,"His words that morning have survived the 147 years since he delivered them…a testament to their power and truth:

“What is lost?” he asked."
D,"“First, our homes."
D,"Second, our businesses."
D,But these are temporary.
D,… We have not lost our geography.
D,"Nature called the lakes, the forests, the prairies together in convention long before we were born, and they decided that on this spot a great city would be built."
D,… We have not lost our hope.
D,… The fire makes no difference to me.
D,"If you’ll stay here, I will."
D,"And we’ll work together, and help each other out of our troubles.”

Since Reverend Collyer’s time, Americans have often had to gather in broken cathedrals – some of stone and glass – some of aspirations and promises – to reaffirm our faith in one another."
D,We find ourselves at such a moment now.
D,"We contend every day with an economy that gives little and takes too much… that allows passion and work ethic to be overwhelmed by student loans, unexpected health emergencies and the rising cost of living."
D,"We want strong families, but we have yet to embrace more robust policies supporting paid parental leave and affordable child care that will sustain them."
D,We watch 100-year storms that now come every year – and yet we don’t allow the science of climate change to guide our decision making.
D,We fail to hold accountable leaders who sacrifice truth for personal gain – who substitute pageantry for patriotism.
D,We are a nation founded on fearless ideas – and yet we move away from those drawn to that vision.
D,"We want better roads, better schools, better wages – but we vilify anyone who dares suggest a workable path to those things."
D,"We allow our schools, our movie theaters, our hospitals, our neighborhoods to become battlefields – legally accessible by the weapons of war."
D,Our abdication of responsibility must end.
D,"Just a few weeks ago, I went to Mercy Hospital to attend a vigil honoring the victims of the murderous shootings there:

To honor the police officer who ran into gunfire and not away."
D,To honor the doctor – a University of Illinois graduate – who raised money for disadvantaged kids and led her church choir.
D,To honor the pharmacist who went into medicine because she had struggled with health problems herself.
D,These are the very best of Illinois.
D,"As a public servant, it’s hard to bear witness to violence such as this."
D,"But this job also exposes you to the people who stitch us back together time and again, to the Illinoisans who remind us what amazing capacity we have to change."
D,"At the Mercy Hospital vigil, Sister Barbara Centner read a Franciscan prayer that speaks to who we are in Illinois:

“May God bless us with tears to shed for those who suffer from pain, rejection, hunger, and war, so that we may reach out our hands to comfort them and turn their pain into joy."
D,"And may God bless us with enough foolishness to believe that we can make a difference in this world, so that we can do what others claim cannot be done, to bring justice and kindness to all our children and the poor.”

At 200 years old, Illinois is still a young promise."
D,Our time here has been but a blink.
D,"In 2019, we must begin a new century with new maturity…and enough foolishness to believe we can make a difference."
D,"That starts with leadership that abandons single minded, arrogant notions."
D,No.
D,Everything is not broken.
D,"Our history is a story of leaps forward and occasional stumbles back – and a promise renewed with each generation that we will try harder…that we will do better…that big breakthroughs are built of centuries of selfless effort by unheralded heroes …that big change rides on what we can do together, not what one person attempts alone."
D,Neighbors working side by side in Taylorville lost their homes and worldly possessions in the recent tornadoes.
D,They know that what Reverend Collyer said after the Great Chicago Fire was right – we work together to help each other out of our troubles.
D,"So today, with all the challenges Illinois faces, Democrats and Republicans will work together, and we must begin with our most basic responsibilities."
D,"We will propose, debate and pass a balanced budget this year."
D,"It won’t be easy, but let’s confront this challenge with honesty."
D,Our obligations as a state outmatch our resources.
D,Our fiscal situation right now is challenging.
D,And the solution requires a collective commitment to embracing hard choices.
D,We need to bring real efficiencies to state government.
D,Our information technology systems are outdated and cost more to maintain than they do to replace.
D,"Inexpensive healthcare prevention programs were decimated, causing higher spending to treat diseases that could have been cured."
D,Balancing the budget means lowering the cost of government while delivering the high quality services Illinoisans deserve.
D,"But be clear about this: I won’t balance the budget on the backs of the starving, the sick, and the suffering."
D,I won’t hollow out the functions of government to achieve an ideological agenda – I won’t make government the enemy and government employees the scapegoats.
D,Responsible fiscal management is a marriage of numbers – and values.
D,Which is why it’s time to start the earnest work of creating a fair tax system here in Illinois.
D,"Our regressive tax system, including property taxes and sales taxes, currently has the middle class paying more than double the rate the wealthy pay."
D,"That’s not fair, and it also doesn’t pay our bills."
D,Today our state’s fiscal instability affects every single person who lives and works in Illinois…whether you earn millions or the minimum wage.
D,"It means that our government wastes tens of millions of dollars paying higher interest rates than almost any other state, and we scare businesses and families away because they fear our uncertain future."
D,The current tax system is simply unsustainable.
D,Others have lied to you about that fact.
D,I won’t.
D,"The future of Illinois depends on the passage of a fair income tax, which will bring us into the 21st Century like most of our midwestern neighbors, and like the vast majority of the United States."
D,I’m not naïve about what it will take to do this.
D,All who enter a discussion about our state’s budget and a fair tax system in good faith will be welcomed to the table.
D,But if you lead with partisanship and scare tactics you will be met with considerable political will.
D,It is time to update and repair our state’s aging infrastructure.
D,"Railways, roads, bridges and fresh water arteries are on the verge of collapse."
D,Crumbling bridges mean people’s lives are in danger.
D,Deteriorating rail systems mean goods and services take longer to deliver and cost more.
D,We are the nation’s supply chain hub and we must be built like it.
D,Let’s remember too that an aging highway system is not just concrete and steel.
D,It’s a longer commute home.
D,It’s missing those golden hours between dinner and bedtime when your kids are young where you spend a few minutes reading a book together and talking about their day.
D,The seemingly dry acts of government really do affect the richness and joy of our lives.
D,We must treat the decisions we make together – the decisions of our elected officials to champion a cause and the decisions of our citizens to embrace or reject those efforts – with an eye to the pursuit of their happiness.
D,"As we enter Illinois’ third century, we must bring a renaissance to downstate Illinois which has been deprived of some basic resources for education and business building that are taken for granted elsewhere in our state."
D,"To begin, we will work to deliver high speed broadband internet coverage to everyone, in every corner of Illinois."
D,"Today every new job and every student is dependent upon connectivity, and no part of our state should be left out."
D,Our future depends upon our actions today.
D,"That’s why we must embrace a broad vision of environmental protection, or else decisions are going to be forced upon us in ways that will offer us little control and catastrophic outcomes for our children."
D,I believe in science.
D,"To that end, as one of my first acts as Governor, Illinois will become a member of the U.S."
D,"Climate Alliance, upholding the goals and ideals of the Paris Climate Accord."
D,Working men and women deserve to have a governor and a Department of Labor that will enforce laws protecting workers’ wages and workers’ rights.
D,And they deserve a $15 minimum wage.
D,It’s good for the working families of Illinois and good for our economy.
D,"As your governor, I’ll be committed to helping us become the fastest growing big state economy in the nation."
D,I will be our state’s best Chief Marketing Officer to attract jobs and businesses to Illinois.
D,"We will bring capital, technical assistance and mentorship to help Illinoisans across our state start and build new businesses and new jobs."
D,Our economic success depends upon it.
D,"In the interests of keeping the public safe from harm, expanding true justice in our criminal justice system, and advancing economic inclusion, I will work with the legislature to legalize, tax and regulate the sale of recreational cannabis in Illinois."
D,We will approach education with a holistic mindset – recognizing that students do best in community schools where teachers are paid well and where kids start learning at the earliest ages.
D,"And our economy grows when vocational training, community colleges and universities are strong."
D,We will do all of this with the most diverse set of voices and perspectives that Illinois has ever seen.
D,"I have built a cabinet of people who bring with them experiences I don’t share, from communities I did not come from, with expertise I don’t have, because to lead well, all of Illinois must be represented in the decision making."
D,"Furthermore, I want all the children of Illinois to see someone who looks like them in my government."
D,High hope and clear vision are what have built this state.
D,"Despite all the turmoil in this world, Illinoisans continue to build, innovate, create and dream."
D,"Our agriculture sector is built on some of the most fertile soil in the world, and it’s expanding, employing nearly a million people in every part of the state."
D,"We have nearly 13,000 manufacturing firms in Illinois that employ more than 580,000 people – many of them proud union workers with the best training in the world."
D,One out of 10 computer science degrees in the nation comes from Illinois colleges and universities.
D,"Our entrepreneurs continue to be tireless dreamers, whether it’s Jamie Gladfelter creating a software development incubator in Galesburg, Jeremie Draper shaping glass in Peoria or Leif Anderson still using his grandfather’s original recipes to make and sell candy in Richmond."
D,That’s the Illinois I see…one of possibility and promise.
D,"That’s the Illinois I know, one whose people are fearless and audacious."
D,That’s the vision I have for our state…another century of boundless opportunity.
D,"When your faith in this future flags, I urge you to remember Reverend Collyer and his ruined church – how he was the vessel for his parishioners’ burnt hopes."
D,How he saw the natural beauty of Illinois and knew nothing could steal that from them.
D,I see the natural beauty of Illinois every day – in our people.
D,More than anything else I see it in our capacity to be kind.
D,Consider the story a few weeks ago of Casey Handal and Zadette Rosado.
D,Casey and Zadette moved to Barrington last May and they proudly flew a rainbow flag behind their home.
D,"And then someone snuck into their yard and stole it, replacing their pride flag with an American flag – ironic because the thief doesn’t understand that you rob the American flag of meaning when you steal a person’s symbol of self-expression."
D,"That could have been the end of the story, but Casey and Zadette’s neighbor Kim Filian wouldn’t let it be."
D,She put a pride flag in her yard in solidarity.
D,And then she kept buying them because her neighbors kept asking for them too.
D,Soon there were pride flags everywhere – a place that hate had tried to fill was conquered by love instead.
D,"As Kim noted: “Frankly, I’ve grown weary of this, of all this hate."
D,"And I gotta say, it just seemed like there was one thing that I could do that I had control of.”

Remember that our ability to grow weary of hate fuels our enormous capacity to be kind."
D,"The bright moments of our past…the North Star of our future…are all lit not by ambition, partisanship or greed…but by kindness."
D,A willingness to be kind is a virtue often overlooked in life…a commitment to be kind in politics can change the world.
D,"Over a century ago, public policy grounded by kindness offered a penniless immigrant to Illinois a bed to sleep in, a public school education and the opportunity to succeed."
D,"130 years later, his great grandson just took the oath of office to be Governor of this great state."
D,"So thank you Illinois, for your faith in me."
D,I promise to live up to it every day.
D,"Together let’s go into this new century with enough faith to help each other out of our troubles, with enough foolishness to believe we can make a difference in the world, and with enough kindness to find the courage to change."
D,Thank you.
D,God bless the state of Illinois.
D,And God bless the United States of America.
D,My fellow Kentuckians: Our commonwealth is more than just a state.
D,It is a commitment.
D,A commitment to an idea and an ideal that we will come together for the common good of all people.
D,Together... common good.
D,The commitment to be that commonwealth for the common good is our north star.
D,It should lead and guide us.
D,"But just saying we are a commonwealth is not enough, for today it seems that we are further from realizing our commitment than ever."
D,"We not only teach our children that words matter, but that our actions speak just as loudly."
D,My hope is that together we can work to live the values we teach our children in both our words and our actions.
D,I intend to lead by example.
D,And I will strive to build an administration that does the same.
D,"As a people, we have succeeded when we have shared a common purpose."
D,When Kentucky came together to fix the injustice of our rape kit backlog – that was government at its best.
D,"Members of the legislative and executive branches, members of law enforcement, and our nonprofit community worked together to make sure that each and every rape kit from our historic backlog was tested."
D,And we continue to seek justice and closure for survivors and their families.
D,I hope that my legacy as attorney general will be never giving up.
D,"Every time we helped make an arrest or helped secure an indictment in a 20 or 30-year-old crime, we restored a little faith in our system and our government."
D,We showed we would never give up.
D,"As we sit here today, Kentucky is one of only a handful of states that has ended their historic backlog."
D,That’s the type of history we want to make for Kentucky.
D,One where we lead instead of lagging behind.
D,We succeed when we focus on our shared values; values that tie us together as Kentuckians and as Americans.
D,"We succeed when we put the collective interest, the common good, ahead of our personal ambitions."
D,"2 We succeed when we focus, right here in Kentucky, on making life better for our people instead of allowing national divisions to distract us from the work at hand."
D,We succeed when we stop treating each other as the enemy.
D,That is when we get government at its very best.
D,That is when we get Kentucky at its very best.
D,We have a chance right here and right now to get this right when so many others are getting it so wrong.
D,My faith teaches me to treat others with dignity and respect.
D,My faith also teaches forgiveness.
D,"That’s why on Thursday, I will sign an executive order restoring voting rights to over a hundred thousand men and women who have done wrong in the past but are doing right now."
D,They deserve to participate in our great democracy.
D,"By taking this step, by restoring these voting rights, we declare that everyone in Kentucky counts."
D,We all matter.
D,Americans have been disagreeing about things since the founding of our nation.
D,"Even the structure of our government creates conflict – but, it’s only when we view those who disagree with us as the enemy that our differences become irreconcilable or insurmountable."
D,Kentuckians have more in common – regardless of what party we belong to – than any national divisions can ever pull us apart.
D,We are on the same team.
D,"Here in Kentucky, we know a thing or two about winning teams."
D,We know that winning requires putting the team above oneself.
D,"Well, we’re all in this together on team Kentucky."
D,"Which means we have to begin looking at each other as teammates, as fellow Kentuckians, not as republicans and democrats - not as liberals and conservatives, not as rural or urban."
D,Because each of us is so much more than a letter or a label.
D,"We are wonderful, complex, flawed but amazing human beings, shaped by our families, our communities and our experiences."
D,"When we realize that, we will have the freedom to focus on what’s most important: making life better for our families."
D,All of our families.
D,That’s what being part of a commonwealth means to me.
D,"Striving together to lift one another up, to realize that we are better when we work together and we have the chance of bettering the lives of our friends and families and neighbors when we do so."
D,Those are real Kentucky values.
D,"It means helping our neighbors, no matter who they voted for."
D,3 It means treating everyone with dignity and respect.
D,No matter what party they belong to.
D,"As one of my first acts as governor-elect, I traveled to Clay County with Senate President Stivers, Senator McConnell and Attorney General-elect Daniel Cameron."
D,Together we opened a drug treatment facility.
D,Numerous members of the Clay County community attended.
D,"Some of the best conversations I had that day started with people telling me they didn’t vote for me, but now they were filled with hope, excited and now they are ready to work with me."
D,That they have hope.
D,I am now the governor of all the people of Kentucky.
D,I will be governor just as much for those who voted against me as those who voted for me.
D,Because I view this election as an opportunity...An opportunity to heal wounds.
D,An opportunity to work together instead of angling for political gain.
D,An opportunity to make room at the table for voices that have been excluded.
D,"One of those voices you just heard from, is Lt. Gov."
D,Jacqueline Coleman.
D,Not only is Jacqueline the first teacher to serve as Lt.
D,"Governor since Martha Layne Collins, she is the first Lt."
D,Governor to also serve as our Education Cabinet secretary.
D,Jacqueline has gone from being locked out to lieutenant governor.
D,"This morning, I reorganized the state board of education and appointed new members who support public education."
D,"These members were not chosen based on any partisan affiliation, but based on their commitment to make our schools better."
D,To put our children first.
D,"Today, for the first time, Kentucky’s teachers and educators led the inaugural parade."
D,Because they represent the best of us.
D,They are the ones on the front lines fighting to give our children the opportunity to succeed.
D,"They are the ones Muhammed Ali – a great Kentuckian – referred to when he said, ""Service to others is the rent you pay for your room here on earth."""
D,"After this ceremony, the doors to this Capitol – your Capitol – will be open to all who wish to enter."
D,To help us celebrate our democracy and to remind all of us up here who we work for – you.
D,And every day I’m governor these doors will remain open to all Kentuckians.
D,No one will be locked out.
D,Because everybody counts.
D,"In the attorney general’s office, we worked hard every day to fight for the lost, the lonely and the left behind."
D,"For victims of child abuse, sexual assault and human trafficking... For seniors who were taken advantage of and for families worried about losing their health care."
D,For victims who needed someone to fight for them.
D,Leadership is not about doing what’s popular; it’s about doing what’s right.
D,"But above all else, it is about doing what is necessary for all of our people."
D,"To do that, we have to meet people where they are and work with those we disagree with."
D,While I cannot and will not promise to please all the people all the time – I can and will pledge to work with an outstretched hand.
D,"4 Twelve years ago, another Kentucky governor, in his inaugural address, quoted Thomas Jefferson saying, “Every difference of opinion is not a difference of principle.” I know that governor pretty well."
D,He’s sitting right over there.
D,"To Steve and Jane Beshear, I am grateful for your wisdom and passion for helping the people of our great state."
D,You have been wonderful parents.
D,"And, I am grateful for the greatest family anyone could have."
D,"Britainy, Will and Lila-you are my foundation, the core of who I am, and I love you with every part of my being."
D,Thank you.
D,"For my family and for all of our families, we need to work to find common ground because our challenges are many."
D,And solving them will not be easy.
D,Kentucky faces a critical shortage of teachers.
D,And far too many work a second job just to make ends meet.
D,Prioritizing our children also means prioritizing their teachers.
D,If Kentucky is to compete nationally – not to mention with our neighbors – we need to pay our teachers a living wage.
D,"We will start by including a $2,000 across-the-board raise in the budget we submit to the legislature."
D,"If our public schools – especially those in struggling communities– are going to survive and thrive, we need to make sure they are adequately funded."
D,"That means looking at class size, providing technology and striving to give every child true opportunity."
D,This is not a partisan issue.
D,This is a Kentucky issue.
D,The same goes for protecting the retirement of all our public employees.
D,"Kentucky’s educators, social workers, police officers, firefighters and other first responders keep their promise every day to serve, protect, rescue and educate."
D,We must keep our promise to them and their families.
D,This is not a partisan issue.
D,This is a Kentucky issue.
D,"When Kentucky expanded Medicaid, it provided four hundred thousand more of our fellow Kentuckians access to affordable health care."
D,These are our brothers and sisters.
D,We sit next to them in the stands on Friday and pray next to them in the pews on Sunday.
D,"After the expansion, these neighbors could go see a doctor without fear of bankruptcy."
D,And the expansion ensured that nearly all of Kentucky’s children had real access to health care.
D,I will honor and strengthen this commitment to our families...
D,I will do everything in my power to ensure that Kentuckians with pre-existing conditions do not lose their coverage.
D,And I will fight to lower the cost of prescription drugs and we’ll start with insulin.
D,Health care should not be a partisan issue.
D,Because health care is a Kentucky issue.
D,5 Kentucky is still 47th in the country in per capita income.
D,Let’s admit what that means.
D,Far too many of our families live in poverty.
D,"Worse, 22% of Kentucky children live in poverty."
D,That means nearly one quarter of our kids are never certain about their next meal or whether they’ll have a roof over their heads.
D,There is no easy solution and this is a bigger problem than any one governor can solve alone.
D,"As a start, we have to recognize that this is not just about the number of jobs."
D,And it’s not enough that the unemployment rate is low.
D,"That statistic doesn’t tell the story of families struggling to make ends meet with two, and sometimes three, jobs."
D,We must implement a comprehensive economic plan to create the better-paying jobs our families in need.
D,We need it desperately.
D,We owe that to our children.
D,"We can start by investing in agritech and advanced manufacturing, two areas where Kentucky is poised to be a national leader if we have the vision and the will to be bold."
D,"We all want Kentucky to be a place where our children and grandchildren want to – and can afford to raise their own children, keeping families together and growing our commonwealth."
D,For the common good.
D,"Daniel Boone once said, “Heaven must be a Kentucky kind of place.” He was right."
D,But we are now living in the most divisive period of our lifetime.
D,Today gives us a chance to get this right.
D,"To be a lighthouse in the storm, to be a beacon in the night."
D,"Today is a day to celebrate our history, our democracy and our freedom."
D,It is also a time to recommit to being a commonwealth for the common good.
D,We’re all on Team Kentucky.
D,Let’s prove to this country and to each other that we can get this right.
D,I can’t wait to get started.
D,Thank you.
D,God bless you and god bless the Commonwealth of Kentucky.
D,"My fellow Louisianans:

I am grateful to be here today and thankful to everyone who has traveled from Amite and other places near and far to join us for this ceremony."
D,"Governor Jindal, the first thing Donna and I want to do is thank you, Mrs. Jindal, and your staff for the efficient and gracious manner in which this transition has been handled."
D,Your kindness and cooperation is a testimony that we can indeed work together for the common good of the state we all love.
D,"Speaking of love, I want to thank the love of my life, my wife Donna, and our children Samantha Bel, Sarah Ellen, and John Miller."
D,"Also, I want to thank my mother, Dora Jean Edwards, and pay tribute to my late father Frank Edwards, Jr., who died while the campaign was underway."
D,"I miss him terribly and thank him for passing on to me a sense of service, commitment to others, and the value of hard work."
D,"I love my parents, siblings, and extended family and thank each of them for helping me stand before the state as Louisiana's Governor."
D,I especially want to thank all the people of Louisiana – those who have joined us here today and those spread out in each corner of the state.
D,We are here because you have chosen to rise above partisan politics and put Louisiana First.
D,"I was not a business-as-usual candidate, and I will not be a business-as-usual governor."
D,"I am, first and foremost, a proud Louisianan."
D,"Like many of you, I grew up in a family that taught me the importance of faith."
D,"We filled an entire pew at church every Sunday, and the hardest catechism teacher I ever had was my mother, who taught me in the sixth grade."
D,"Like many of you, I also grew up with a strong appreciation for the sportsmen’s paradise we live in."
D,Some of my best memories are of camping with my father and six brothers.
D,"Every year, we would float the Tangipahoa River to Manchac, eating whatever we caught or killed along the way."
D,"But just in case we came up empty, we’d always bring along some sweet potato pie left over from Thanksgiving."
D,And my favorite memories are those spent sitting around the campfire on cold nights in discussion and debate with my family.
D,"In Louisiana, our land is diverse, our ideas are diverse, and our people are diverse."
D,"From the original Native American inhabitants to the French, Spanish, Acadians and Africans...

From the Yugoslavian oyster harvesters to the Sicilian strawberry farmers... Nearly every nation on earth has left its imprint on our culture."
D,"Louisiana is an example to the rest of the country that diversity is a source of strength, not division."
D,That is why I am confident that regardless of party we can band together to rebuild Louisiana.
D,The status quo is not sustainable in a state that is anything but ordinary.
D,"As we prepare to meet the mounting challenges ahead, I am reminded of General MacArthur’s farewell address to West Point that duty, honor and country should be rallying points “to build courage when courage seems to fail; to regain faith when there seems to be little cause for faith; to create hope when hope becomes forlorn.”

My experience at West Point and my service as an army officer have molded the way I look at the world."
D,"Ever since Athens defeated Sparta over 2,500 years ago, and the history of that war was written, military officers have been trained to look at every challenging task in a three step process."
D,The first step is gathering all the information you can about the job at hand.
D,The second step is to ask yourself - and knowledgeable people around you - what are our options to successfully address the challenge and which ones best fit our mission and values.
D,That’s the choice of a strategy.
D,"And finally, step three is a decision on tactics."
D,How are we going to get it done?
D,"In military terms, victory is won by information (or intelligence), strategy and tactics."
D,THAT is how I propose we proceed in our shared mission of putting Louisiana First.
D,We must be honest with ourselves and one another.
D,"I can tell you I'd rather be here today inheriting a billion dollar surplus, than a $1.9 billion shortfall, but there isn’t a challenge we won’t meet."
D,"We must be grounded in reality and see the facts as they are, not as we want them to be."
