Party,Sentence
R,"Free to work and earn a living, to build a business, to build a life."
R,"Free to find and speak the truth about their government, and those who would lead it."
R,Free from crime and violence and lawlessness of all kinds.
R,"Free to move from place to place, across town or across the world, without gridlock and endless frustration."
R,"Free to choose 
5the schools their children will attend, and to find a safe and sound learning environment in every public institution."
R,"Free to breathe clean air and drink clean water, and to contemplate the hand of God in the forms and colors of our breathtakingly beautiful state, and upon the hearts of its diverse people."
R,"Free to pursue an authentic higher education in our great research universities and our community colleges, at a cost that will not leave them under a crushing debt."
R,"These freedoms, no less than others enumerated in our nation’s founding documents, are what made this land great across nearly two-and-a-half centuries."
R,"Freedom is not a mere word, but the purpose and calling of mankind."
R,It ennobles us.
R,"It has been the inspiration of a nation, the animation of a great and distinguished people called Americans, and the hope of cherished youth who have fought and died in distant places, so that we might keep it and know its blessings."
R,"And so surely we who labor at this capitol can do our part to protect freedom, too."
R,Like so many Americans I am a sports fan.
R,"I long for the thrill of the game, and I love the courage and competitive intelligence of great athletes."
R,"What a wonderful example our very own Super Bowl bound Arizona Cardinals have been, in that regard."
R,"One thing many great athletes can tell you is this: When you are struggling, return to the fundamentals."
R,"Get the fundamentals right, and the strong performance follows."
R,"In America our fundamental value, our lodestar and our true north,... is freedom."
R,"Our greatest struggles, and gravest sins, have come when we have valued freedom too little, or coldly denied its promise to others."
R,"Consider the symmetry in the present crisis  --  a struggling nation, with a haunting chapter in 
6its past, has just proudly inaugurated its first African-American President."
R,"To better times, we will find no surer path than freedom."
R,My path to this platform today has not been paved with privilege.
R,"When I was a little girl, my widowed mother supported my brother and I with a small dress shop."
R,"From the time I was 10 years old, I helped my mother, always learning along the way."
R,"Later in life I worked in a number of jobs, none of which were necessarily glamorous."
R,"I have come to know want, and worry, and the anxiety that touches so many people around our state today."
R,"But I know with all certainty that we will make our stand, and soon we will be living out our finest days."
R,"We will get there by the light of Lady Margaret Thatcher, who helped Ronald Reagan to save freedom in the 20th Century."
R,"“Our policy,” she said, “is not built on envy or hatred, but on liberty for the individual man or woman."
R,"It is not our policy to suppress success; our policy is to encourage it, and encourage energy and initiative.” It’s a widely and sometimes bitterly held view that Arizona has been living high off it’s growth for the past 25 years, and there is some truth in that."
R,"But it’s also true that going forward, we will still be living off our growth  --  but less the growth of our suburbs, and more the growth of our people."
R,"In 20th Century Arizona, land was king, as we planted and mined and built our way through adolescence as a state."
R,Those things will continue to be critical pillars of our economy.
R,"But in 21stCentury Arizona talent will be king  --  or queen, if you’d rather  --  and we will both cultivate and attract it through freedom."
R,This is the ancient cause and the common cry that can unite us for our present works.
R,"Together we will succeed in this cause, and I look forward to serving you and our great state."
R,"Thank you, and may God continue to bless each of you and every Arizonan across our land."
R,"

Good afternoon."
R,"A few moments ago I raised my right hand, humbled in spirit and with hopefulness in my heart, to take the oath of office as Governor of the State of Connecticut."
R,"It is not a position I sought through the normal course of electoral politics, but little has seemed normal over the past several months."
R,"Few could have accurately predicted the incredible, seemingly unrelenting, series of events that have led to today's actions."
R,It has been a time of profound disappointment and disillusionment.
R,"It has been a moment in history that we never thought we would see, and fervently hope that we never see again."
R,"Yet while the people's trust in government has been weakened, I know that Connecticut is resilient."
R,"Ours is a strength that is centuries old, but ever new."
R,"The wellspring of our state's strength is untainted by corruption, and untouched by controversy."
R,It's the optimism of Connecticut families -- always ready to look forward to tomorrow.
R,"A new administration is taking shape, and though awed and inspired by the incredible responsibilities that await me, I assume the governorship of our .great state with respect, honor, and modesty."
R,The time to heal has begun.
R,"Yes, our trust has been broken."
R,Our faith in government has been shaken.
R,Our belief in the inherent virtue of public service has been called into question.
R,We have been tested.
R,We have been tried.
R,"But there can be no doubt, with this historic transfer of power today, that the very principles upon which our constitution, our laws, and our system of government are built are far stronger and far greater than the frailties and failures of anyone individual or group of people."
R,Today we chart a new course.
R,"Today, we begin to restore faith, integrity, and honor to our government."
R,It is our solemn obligation.
R,It will be our lasting legacy.
R,I deeply believe that public service is a noble and necessary cause.
R,"For generations, indeed for more than two centuries, well intentioned, virtuous men and women have served our state well."
R,"We cannot allow the actions of a relative few to tarnish all who serve, or more significantly, to discourage future generations from answering their call to service."
R,We must and we will recommit ourselves to ending the culture of corruption that has plagued our state for far too long.
R,"To that end, my first order of business as the 87th Governor of Connecticut is to issue Executive Order Number One, which imposes strict ethics restraints on those who serve in state government."
R,"It also creates a new public integrity officer in my cabinet - a person who will report directly to me and who will work with enforcement agencies on matters involving corruption, unethical practices, or alleged abuses of public authority."
R,She will also aggressively educate and train state employees on both the spirit and letter of the laws regarding ethics.
R,"Let the message be clear: From this day forward, if you are entrusted with public office, you will uphold the highest standards of public integrity and ethical principles."
R,"Ours is a rich and proud history, and we will return pride to our state."
R,"Connecticut will again be home to innovation, idealism, and integrity in government service."
R,"To be sure, this is a time unlike any other in our state's history, and in many ways we have a most unique occasion to govern."
R,We should view our opportunity to lead as a gift --- a gift holding unlimited potential and promise for addressing long unmet needs and long-standing policy problems.
R,"Let us not squander our opportunity, for there is too much work to do and too many pressing priorities ahead."
R,My administration will work steadfastly to create jobs and grow our economy.
R,"Over the next few weeks and months, we will be proposing new initiatives on the economy, education, and campaign finance reform."
R,We will also seek a spirit of cooperation and public service transcending partisanship.
R,We will work together to find common ground in philosophy and workable solutions to complex issues.
R,"Before turning the page and moving forward, let me take a moment to acknowledge that these have been very difficult and trying times for everyone - including Governor Rowland and his family."
R,"My thoughts and prayers are with them, and I ask you to remember them as well."
R,"My pledge, as your new governor, is a simple one: I will work tirelessly, with honor, dignity, and civility in the days and weeks to come."
R,"I ask for your support, your understanding, and your prayers."
R,But now we start anew.
R,And so the journey begins.
R,"Thank you, and God Bless the Great State of Connecticut."
R,"Good afternoon/morning, Illinois."
R,"Great day, Illinois!"
R,"Thank you so much!--I want to begin by thanking my wife, Diana."
R,"She is my partner and my best friend –and she is going to be a tremendous First Lady!--And thank you to our six kids who have endured a lot over the past two years and will have to put up with even more over the next four.--I want to acknowledge Governor Quinn for his years of service to the state and the people of Illinois.--I’d like to recognize and thank our distinguished guests:-Madam Chief Justice and distinguished members of the Court-President Cullerton-Speaker Madigan-Leader Radogno-Leader Durkin-Attorney General Madigan-Secretary of State White-Comptroller-designate Munger-Treasurer-elect Frerichs-Members of the General Assembly-Members of the Congressional delegation-Governor Edgar-Mayor Houston-Mayor Emanuel-Archbishop Cupich-Major General Krumrei and all the members of our National Guard.--Thank you, Evelyn, you’re the best partner I could possibly have to transform our state government –you’ll be a terrific Lieutenant Governor.----And I liked to express my very deepest gratitude to our veterans and our service men and women here today and around the world."
R,God bless you.
R,Thank you for your service to our country.
R,"As governor, I will do everything in my power to support you.--
I also want to say a very special thank you to our police officers, our corrections officers, our firefighters and all those who risk their lives to protect all the families of Illinois."
R,Thank you.
R,"I look forward to being an ally and advocate for you.----It is an honor to stand before you, before ALL the people of Illinois, today.I am humbled."
R,I am honored.
R,I am privileged.
R,"I am excited.I LOVE Illinois, and I want OURS to be a GREAT state, a great HOME for EVERY family here."
R,"I am ready to go to work for you.----As I’ve traveled our state over the last few years, I’ve met with tens of thousands of people; teachers and farmers, factory workers and coal miners, college students and retirees -the people who are the heart and soul of Illinois.In that process, I’ve met thousands of small business owners."
R,"In our discussions, I’ve been stunned by how many of them are frustrated and in trying to build their businesses here and are thinking of leaving.--I visited one company called Keats Manufacturing in Wheeling.Back in 1958, Bert and Glenn Keats started a metal stamping company in a storefront on Cicero Avenue in Chicago."
R,"Their father had never made it past high school, but both of them made it through college and were eager to start out on their own.They had one employee and a couple machines."
R,"They worked long hours, a second job and sacrificed much, but they made it and their company took off.Today, Keats Manufacturing employs 110 Illinois workers and has nearly 75 machines running 24 hours a day, 5 days per week.The story of Bert and Glenn Keats was not an uncommon path in our state."
R,"And it wasn’t just Chicago, and it wasn’t just manufacturing."
R,"It was Peoria, it was Rockford, it was Decatur."
R,"It was agriculture, it was transportation, it was technology.Illinois was a place where people like Bert and Glenn Keats from all over the country, indeed, from all over the world, wanted to come, because Illinois was a land of opportunity, almost without parallel in America.--Today’s Illinois is very different.--The grandsons of Bert and Glenn Keats –tell me they couldn’t have started their company in Illinois today."
R,"When their grandfathers started the company, all its customers were Illinois companies; they went door-to-door to find them."
R,"But today, none of their customers are Illinois companies –they have all left."
R,"And the grandsons told me that they, themselves, are feeling the pressure of high taxes 
and high regulation.--Today Illinois is not able to compete effectively with our neighboring states, our citizens are suffering because of it, and in many cases, they are up and leaving.Last year, we lost more people than any other state in America, and over the last ten years, we have ranked right near the bottom of all fifty states for out-migration."
R,"People are leaving to find jobs, or because they run companies, and they are taking their jobs with them.Our local businesses look in every direction and see states that are more appealing.Lifelong Illinoisans look at their future and think they canachieve more outside Illinois.You probably know a neighbor, a co-worker, or maybe even a son or daughter who has said, “I can do better somewhere else.”It breaks your heart, but you know it’s hard to argue with them.--We need a booming economy that is pro-growth, pro-business, pro-job creation or we won’t have the money to solve any of our other problems.Our state must become competitive again.In the weeks ahead, I’ll be asking the legislature to work with me to pass a comprehensive jobs and economic package that will get Illinois working again."
R,Let’s get our sons and daughters to return home!--One of the main reasons companies have been leaving Illinois is that they don’t have confidence in the financial condition of our state.
R,"We are in the midst of a government financial crisis that has been building for decades.Its roots lie in bad decisions, bad practices, and bad management by state government.It is not a partisan creation.It is a truly bipartisan one.Our government has spent more thanwe could afford; borrowed money and called it revenue."
R,"Rather than responsibly budgeting the money we had, we implemented programs we couldn’t afford."
R,"In the face of a declining economy, we raised taxes."
R,"This hurt our economy even more, put more stress onour social safety net, and pushed more Illinoisans out of our state, leaving fewer taxpayers to support the government."
R,"As a result, today Illinois is not as competitive as we need to be and cannot be as compassionate as we want to be.--Some in government will be tempted to once again take the easy road and leave the real problems for another day and the next generation.But, we can not do that because to do so, to conduct business as usual, would be morally corrupt.Instead, we have an opportunity to accomplish something historic: to fix years of busted budgets and broken government; to forge a path toward long-term prosperity and a brighter future; to make Illinois the kind of state others aspire to become, a national leader in job growth and education quality.--
To achieve that will require sacrifice.Sacrifice by all of us –politicians and interests groups, business and labor, those who pay for government and those who depend on government’s services.Each person here today and all those throughout the state will be called upon to share in the sacrifice so that one day we can again share in Illinois’s prosperity.We all must shake up our old ways of thinking.I promise to you this administration will make our decisions based on the next generation; not the next election.--I pledge to work on a bipartisan basis to drive results and get things done.--We must be united by our willingness to sacrifice and do what is right even if it is difficult.We must accept the challenge and the sacrifice, knowing that it will lead us to something greater.We must forget the days of feeling good about just making it through another year –by patching over major problems with stitches that are bound to break.Those stitches are now busting wide open and we must begin by taking immediate, decisive action.That’s why today, my first action as governor will be to direct every state agency to freeze non-essential spending.I’ll ask them to review and report on every contract that’s been signed since November 1.And I will follow through on my pledge to reduce my own salary to $1 and decline all benefits.----Our state’s crisis is not only financial."
R,"We have a MORAL crisis, an ETHICAL crisis as well."
R,"We have a state government that too few have faith in; that lack of faith is JUSTIFIED, and undermines people’s willingness to sacrifice and help the government in its mission.Illinoisans see insider deals and cronyism rewarded.They see lobbyists writing bills for special interests and taxpayers being left with the tab.They see government union bosses negotiating sweetheart deals across the table from governors they’ve spent tens of millions to help elect.It’s a corrupt bargain and the people of Illinois are left to wonder where they fit in.Who’s looking out for them and their families?Taxpayers’ money belongs to them; not the government."
R,"We have a moral obligation to minimize how much we take and to ensure what we do take is spent efficiently and effectively--Every dollar we spend unnecessarily inside government is a dollar we can’t put into classrooms or social service providers, or leave in the pockets of entrepreneurs and homeowners.--To the people of Illinois, and the people outside our state who have been reluctant to invest in Illinois because of the insider deals and cronyism, I say this:
--I’m nobody that nobody sent.--And I’ve come to work for you.--I will send a clear signal to everyone in our state, and to those watching from outside our borders, that business as usual is over."
R,"It stops now.--Tomorrow, I will sign an executive order that will improve ethics and accountability in the executive branch of state government."
R,These actions and others to follow will focus on regaining our state’s good name and reputation.
R,"We must prove every day that we have learned our lessons and are changing our ways.----In everything we do, we must ask ourselves, what does this mean for the next generation?For in order to thrive, we must prepare the next generation for success.From cradle to career, the people of Illinois deserve world-class educational opportunities.From early childhood and K through 12 schools, to vocational and technical training, to community colleges and higher ed, we need to invest adequately in every neighborhood."
R,"Next to being a mother or a father, teaching is the most important job in the world, and we must support our many good teachers."
R,"That means putting more directly into the classrooms, reforming the education bureaucracy, rolling back costly mandates and giving more students access to great schools.A high-quality education is essential for higher lifetime earnings, a competitive, world-class workforce and strong economic growth.It is the key to bringing back the American dream forevery family in Illinois; for making the American dream a REALITY for everyone here; a truly better life for the next generation.----If we work together, Illinois can be great again.We have everything needed to thrive –a great location, the economic and cultural center of the Midwest, fertile farms, infrastructure, and most importantly, wonderful, hard-working people –we just need the policy and leadership to make us the best we can possibly be.--In just three short years our great state will be celebrating its 200th Birthday.--Yes, 2018 will be our Bicentennial."
R,"What a perfect time these next few years will be to return our beloved Illinois to its rightful place as a leader among the states of America.A state that, as we prepare for our bicentennial, is ready to seize the future."
R,"A state where not only manufacturing companies like the Keats’ want to be, but where the next big things happen.A state where entrepreneurs want to be.A state where technology companies want to start.Where the next generation of manufacturing occurs.Where family farms that have made us a breadbasket for the world can pass from one generation to the next.Where young couples want to start their families.And their children are inspired in their schools.--Illinois is a state that truly embodies all that is great about America.Since the days of Lincoln, we have stood as a beacon of freedom and justice.Now let us embrace all that is wonderful about Illinois, the reasons we love it: our culture of hard work and responsibility, grounded, solid values, diversity, civic commitment and generosity –and harness it so that our next century is one of prosperity.We can do that if we work together, just as a family does when it faces tough times.Illinois is our home –and rightnow our home is hurting.But home and family are worth sacrificing for...worth fighting for.Together, let’s do the hard work to rebuild our home.I’m ready to get to work for you.I’m ready to fight for you.God bless you.God bless Illinois.And God blessAmerica."
R,Thank you.
R,Thank you.
R,I'm going to wipe my face here.
R,Thank you.
R,Thank you for being here.
R,This is humbling to say the very least.
R,You all came here to witness the changing of an administration.
R,This is what we do at times like this.
R,"And yet you're also here, and so many of you were the catalyst behind the fact, that you're here to witness a fresh start for Kentucky as well."
R,I want to start by saying thank you.
R,There so many people that we could thank.
R,I want to thank the men and women that are responsible for the scaffolding that we sit on; who have worked tirelessly to set this up.
R,For the men and women who have hung the bunting on this building.
R,The men and woman who have created these beautiful renditions of our state motto.
R,The men and women who have painted the things on which we stand.
R,The men and women who erected these tents and these screens and these towers of microphones and of speakers.
R,"The men and women who are represented out here who have finally, perhaps for a moment, gotten a break."
R,"And yet, even now, there are those that are providing security."
R,The men and women who have cut the grass.
R,"The men and women who when we are gone and the party is over, will come in and break all these things down."
R,Thank you.
R,Thank you to each and every one of you.
R,Thank you.
R,I want to thank the men and women who have been so intricately involved in this transition team.
R,To Mac Brown for spearheading that effort.
R,For all the hundreds who have been involved.
R,It is a herculean effort.
R,And yet so many have stepped up and do so with incredible skill and passion and commitment.
R,And we are all the beneficiaries for that.
R,I want to thank those that were on the inaugural committee.
R,I want to thank Kelly Knight and Joe Craft and all of the many others who have poured themselves into everything we see around us.
R,Extraordinary.
R,"Let's give a round of applause to those who made this event so, so special."
R,"I especially want to thank whoever was in charge for 60 degrees on December 8th and those of you in the front and those on this stage don't appreciate it, but those of you sitting back in the sun, you know it's 60 degrees over there."
R,"So I tell you, we are blessed indeed."
R,"I want to thank my wife, Glenna Bevin."
R,She is an amazing woman.
R,She will be an incredible First Lady.
R,She truly brought tears to my eyes.
R,"I remember the first time I saw her as well and I was a 24-year-old man, and I was somewhat taken by what I saw."
R,And she is still the most beautiful woman I know.
R,She has an amazing heart.
R,She's intelligent; she's articulate; she is so gifted beyond her own belief in herself.
R,She's an extraordinary mother.
R,She is someone who's an example to me time and time again.
R,I am so grateful to you and I look forward to serving this commonwealth with you.
R,I really do.
R,I also want to thank other family members of mine that are here.
R,I won't call them out by name or we would extend this beyond what any of you would have patience for.
R,My parents are here.
R,My children are here.
R,My brothers and sisters are here.
R,My nieces and nephews are here.
R,I do however want to single out one individual and I'm not sure where she's sitting at the moment.
R,"But in 1914 this building over here to my right and your left was built, the Governor's Mansion."
R,A beautiful building.
R,It has stood the stand of time since 1914.
R,"And in that very same year, my grandmother, who's here somewhere, was born."
R,My grandmother is 101 years old.
R,"And, she too, has stood the stands of time."
R,The tests of time.
R,And it is a privilege to have her and my entire family here today.
R,I want to thank Jenean Hampton.
R,What an extraordinary woman she is.
R,You got a glimpse of that.
R,You heard her heart.
R,She is somebody who is exceptional.
R,She's extraordinary.
R,She's a historical ground breaker.
R,She will represent this state with incredible passion; with incredible commitment.
R,Her intellect; her love of liberty; her love of America; her love of the Commonwealth of Kentucky and for all that makes us great and good this is what I look forward to.
R,She is a dear friend and someone who I tip my hat to and look forward to serving with.
R,Thank you Jenean.
R,I want to thank Gov.
R,Beshear and all those who are in this outgoing administration.
R,I want to thank you for the service that has been rendered to this state.
R,"It's so easy for us to take for granted in America how unusual it is, how extraordinary it is, that we can have a peaceful transfer of power."
R,"Not once, not twice not occasionally but time and time and time again."
R,Let us not forget how extraordinary that is.
R,How blessed we are to live in a nation where that is possible.
R,"And my hat's off to those who have served before us in this administration, I thank you, sir."
R,It is possible because of the very men and women who have been acknowledged today.
R,"Who were acknowledged in our parade; who've been acknowledged from this stage, but one more time I do want to say thank you to the men and women who have served this nation in uniform."
R,Thank you to the men and women one and a half million of whom have given their lives in combat.
R,"Who have died in uniform so that we might freely assemble, so that we might gather here, so that we might speak freely, that we might worship freely, that we might have freedom of the press so that we might have the very things that so very few in the history of the world have ever had even a glimpse of."
R,"Let us not take these things for granted because, as was sung and as has been stated as we know when we take the time to think about it, freedom is not free; it has been purchased at a great price."
R,And we thank those of you who have paid that price and to your families as well.
R,"I have had occasion over the course of the last two years to drive 95,000 miles around the Commonwealth of Kentucky."
R,It's a lot of miles in one state.
R,"And I've had occasion during driving 95,000 miles around Kentucky to see the obvious places -- the Louisvilles, the Lexingtons, the Frankforts, the Covingtons, the Paducahs, the Owensboros, the Pikevilles, the Ashlands, the fill in the blanks."
R,"I know if I don't stop now I'll just offend more people so I will say this, those are the big ones, those are the obvious ones."
R,We know about those towns.
R,"But I've also had occasion to visit some of the towns like Summer Shade and Thousand Sticks and Possum Trot and Pig, that's literally the name of the town, Pig."
R,Rabbit Hatch and others.
R,...
R,There's a lot of them.
R,And I tell you we're blessed; this is an extraordinary state.
R,"You think about it, you come from all corners of the state."
R,And I thank those of you who have done so.
R,"You come from the corners of this state and you appreciate not only that that is distinct to your area, but that which makes us great."
R,The riverways and the roadways that we have like nowhere else.
R,The geographic location we have like nowhere else.
R,"The fact that we are blessed with an abundance of water, an abundance of coal, an abundance of timber."
R,"Things that are the envy of other states, and of other nations around the world."
R,We have an abundance of resources.
R,We have a wonderful blend of Southern graciousness and hospitality melded with Midwestern sensibilities all smack dab in the middle of the greatest nation on the face of this Earth.
R,We are blessed in Kentucky.
R,We truly are.
R,This is also a state where you can in the course of a couple of hours travel from Boston to California and if you add an extra 30 minutes you can swing though London and Paris probably on your way in doing so.
R,So we are blessed in many respects.
R,"There's a big difference, though, between campaigning and governing."
R,During the course of a campaign you spend a whole lot of time talking about that which differentiates you from others.
R,"And while I did get a little bit of grief from some along the way for trying to focus less on the differentiation and more on that which unites us, none the less, even as I ran both in the primary and the general you talk about the differences."
R,"My challenge to you now as Kentuckians, as your governor, my challenge to each and every one of you is to focus on that which unites us."
R,Look at this seal that is in front of me.
R,Look at this seal that is behind us.
R,"Look at this seal that is on every one of our state flags, our state motto, ""United We Stand, Divided We Fall."""
R,Do you believe that?
R,Do you believe it?
R,Do you believe that this is true?
R,"I want to ask each and every one of you say this with me: united we stand, divided we fall."
R,One more time.
R,Say it like you mean it.
R,"United we stand, divided we fall."
R,How true it is.
R,The power to stand united is within each and every one of us.
R,This is our Kentucky.
R,This is our opportunity.
R,This is our ability to become the greatest version of ourselves that we could possibly be.
R,But it is going to come from each and every one of you.
R,It is going to be intentional.
R,We have challenges ahead.
R,True enough.
R,"I could run through a whole litany of things, a few of them you know."
R,"We are 46th in per capita income, but I will tell Kentucky is better than that."
R,"We're 47th in workforce participation, but I'll tell you, Kentucky is better than that."
R,"We have the highest level of unfunded pension liability in America, but Kentucky is better than that."
R,We are better than that.
R,"Tragically, we have the seventh-highest number of young people who overdose on drugs in this state."
R,In absolute numbers even though we're not a large state.
R,But Kentucky is better than that.
R,We are a state that has one out of every four individuals on Medicaid.
R,But Kentucky is better than that.
R,"There are many things that I could run through, but I'll tell you right now we know what they are, we experience them, we feel them, we know what they are but we know we are better than that."
R,"And the question we have to ask ourselves is that, if indeed we are better than that, how is it that we are going to become the greatest version of who we are?"
R,How will we move from where we are to some greater version still as we move into the future?
R,"I've been asked many times on this campaign trail, why I would want to be governor of the state of Kentucky."
R,Why would I want to step forward to lead the commonwealth?
R,"And what I said from the first time I've been asked to every other time as well, that it isn't so much a function as to what I want but rather that I am willing."
R,I am willing to step forward.
R,I am willing to lead this commonwealth.
R,And there are those that have gathered to prepare what we are experiencing right now.
R,Those that have stepped forward to serve this nation in uniform.
R,Those of you who even now are standing guard on our flank as armed officers.
R,People who are protecting and serving even now.
R,These are people who have also have been willing.
R,In order to be the best version of ourselves it will require us to give.
R,"It requires those us to step up to be willing to step beyond our conform zone and protect those around us by giving, by sacrificing."
R,"Our founding fathers talked about giving their lives, their fortunes and their sacred honors."
R,They talked about pledging these things but each and every one them gave some or all of these things.
R,"When they pledged their lives, their fortunes and their sacred honors this was not a bumper sticker."
R,They weren't trying to win an election.
R,They meant it.
R,Every one of them meant it.
R,They gave some or all of these things.
R,We say we want a better Kentucky.
R,We say we want a better America.
R,My challenge to each and every one of you: How badly do you want it?
R,"How badly do you want it because if you don't want it enough to give some modicum of sacrifice, something from yourself that even remotely compares to that of those which proceeded us have given, those veterans we have honored, those fallen heroes that have fallen in the line of serving those police officers, those first-line responders, those firemen, those EMS."
R,Folks that are representing us.
R,"If we are not willing to give like them, we will not have a better Kentucky."
R,"We will not have a better America and, frankly, we don't deserve it."
R,But we have it within us to be better than this.
R,We do.
R,And my challenge to you is to recognize that the choices that we make today will affect our lives for generations to come.
R,Why should we be willing?
R,Look around you.
R,I have to look only to my left and I see nine compelling reasons for me to be willing to give.
R,"Look around yourselves, there are children in every row."
R,Some of you'll allow you to decide which is the child.
R,"But there are children among us, this is why we are doing this."
R,"We have an obligation, we have a responsibility but, frankly, this is the very thing that is unique about America."
R,Is that we have always been willing to peacefully transfer and sacrifice as if it wasn't going to be transferred peacefully.
R,I want to take a moment and challenge each and every one of you to challenge all Kentuckians everywhere.
R,"In 2016 and beyond, I want you to focus on living out the golden rule."
R,Treat people the way you want to be treated.
R,It's not that complicated.
R,"I encourage you please, extend a hand."
R,"Even when you leave here, simple things like if you brought garbage with you, take it out."
R,"I know that someone else is going to be paid to pick up behind you, but whether it here or at a state park or just on the sidewalk, treat our commonwealth with the pride you take in your new automobile or your new television set or your own living room."
R,We owe this to one another; we're all Kentuckians.
R,This is our commonwealth.
R,Help a neighbor.
R,"Make a point of befriending someone who's in a different political party than yourself and you don't agree on anything, find something you agree on."
R,Find a way to unite with them because united we stand and divided we fall.
R,It's as true as that.
R,It really is.
R,And my challenges to you is to take that seriously.
R,"When I received the nomination back in May, I asked during the acceptance speech if any of you recognized, as I did, that this was morning in Kentucky."
R,I truly believe it is.
R,"But I issued a challenge to you at that time and I asked you, as Kentuckians, that if indeed this is morning in Kentucky, I asked, were you willing to get up?"
R,"Were you willing to wake up, to get out of bed, to put your boots on and get about the business of the day?"
R,And you answered that challenge.
R,"You responded overwhelmingly on November 3rd when you went to the ballot box and you spoke with a loud and clear voice that you are ready to get up, you are ready for a fresh start, that you are ready to get about the day in this new day that is dawning in Kentucky."
R,And my hat is off to you for that.
R,"I was struck by something shortly after this election, in November."
R,"A couple of days later I was in Hazard, Kentucky, in Perry County."
R,I went to see a private-sector employer.
R,It was an individual who employs a number of people in that community.
R,I had met him during the course of the campaign.
